ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20260305,2988.4505,2993.5906,3001.0232,2978.0864,2974.2097,14.2408,0.4788,63797904.0,139933289.588
000016.SH,20260304,2974.2097,2985.632,2991.0309,2953.3247,3014.2702,-40.0605,-1.329,86833095.0,174492920.941
000016.SH,20260303,3014.2702,3045.7497,3056.9862,3008.0031,3046.4667,-32.1965,-1.0568,104832996.0,221706040.613
000016.SH,20260302,3046.4667,3031.4474,3050.9198,3010.0474,3039.431,7.0357,0.2315,83545593.0,193821718.736
000016.SH,20260227,3039.431,3026.0763,3049.3601,3025.7235,3035.0707,4.3603,0.1437,43909783.0,137365110.43
000016.SH,20260226,3035.0707,3059.6017,3060.3366,3023.4345,3054.9247,-19.854,-0.6499,43952257.0,141004998.912
000016.SH,20260225,3054.9247,3045.451,3080.0769,3041.5892,3041.3242,13.6005,0.4472,56685897.0,150622614.996
000016.SH,20260224,3041.3242,3075.4717,3075.8973,3039.4088,3034.3459,6.9783,0.23,43898842.0,128242969.782
000016.SH,20260213,3034.3459,3062.206,3066.039,3032.6561,3079.7273,-45.3814,-1.4736,45953549.0,125965616.371
000016.SH,20260212,3079.7273,3091.5288,3094.3349,3075.7602,3088.4571,-8.7298,-0.2827,44400996.0,130413439.92
000016.SH,20260211,3088.4571,3082.6989,3094.2502,3076.552,3087.405,1.0521,0.0341,36847609.0,114086375.889
000016.SH,20260210,3087.405,3086.3282,3091.3459,3079.9991,3081.7791,5.6259,0.1826,38162332.0,122015907.929
000016.SH,20260209,3081.7791,3066.3175,3081.8681,3059.0287,3037.8602,43.9189,1.4457,41923930.0,135722344.492
000016.SH,20260206,3037.8602,3027.1727,3056.0036,3015.6256,3059.012,-21.1518,-0.6915,46789818.0,133605955.584
000016.SH,20260205,3059.012,3048.8704,3066.5086,3030.8493,3069.2432,-10.2312,-0.3333,53716009.0,147997420.382
000016.SH,20260204,3069.2432,3033.5478,3070.1697,3030.338,3034.5803,34.6629,1.1423,61043659.0,169882139.247
000016.SH,20260203,3034.5803,3033.4696,3036.9966,2987.4057,3003.1373,31.443,1.047,64830347.0,192779506.096
000016.SH,20260202,3003.1373,3036.843,3076.0222,2997.8523,3066.4963,-63.359,-2.0662,80803317.0,208153102.798
000016.SH,20260130,3066.4963,3088.7871,3106.3309,3040.4227,3110.9135,-44.4172,-1.4278,79014687.0,222232774.299
000016.SH,20260129,3110.9135,3074.4865,3122.1416,3048.4132,3060.557,50.3565,1.6453,100710154.0,294888480.62
000016.SH,20260128,3060.557,3066.4252,3074.9759,3047.7853,3052.3932,8.1638,0.2675,96366780.0,252622549.761
000016.SH,20260127,3052.3932,3054.4006,3080.8178,3046.189,3049.5871,2.8061,0.092,75135914.0,202327301.285
000016.SH,20260126,3049.5871,3042.3684,3088.5681,3039.6437,3032.193,17.3941,0.5736,89102472.0,239455604.502
000016.SH,20260123,3032.193,3055.6858,3063.2584,3019.7623,3053.1277,-20.9347,-0.6857,69020151.0,200455523.519
000016.SH,20260122,3053.1277,3080.2049,3089.6732,3046.4282,3067.1753,-14.0476,-0.458,62918454.0,193411152.893
000016.SH,20260121,3067.1753,3073.7685,3097.663,3060.6465,3070.646,-3.4707,-0.113,65664880.0,198825917.004
000016.SH,20260120,3070.646,3077.9394,3090.0853,3058.6109,3075.9357,-5.2897,-0.172,60002533.0,175735632.215
000016.SH,20260119,3075.9357,3077.8064,3094.9717,3065.9404,3079.7631,-3.8274,-0.1243,55866599.0,166180043.159
000016.SH,20260116,3079.7631,3117.9333,3127.8486,3066.0908,3105.5751,-25.812,-0.8312,72454154.0,199999259.219
000016.SH,20260115,3105.5751,3104.3278,3130.9852,3097.1052,3112.0745,-6.4994,-0.2088,54417665.0,158767808.519
000016.SH,20260114,3112.0745,3136.8446,3169.7527,3106.1343,3132.9328,-20.8583,-0.6658,71957426.0,216077549.111
000016.SH,20260113,3132.9328,3150.7331,3177.7353,3123.1722,3143.7371,-10.8043,-0.3437,63160096.0,188852872.186
000016.SH,20260112,3143.7371,3146.5115,3148.1113,3125.1697,3134.3245,9.4126,0.3003,64461913.0,189801895.562
